"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
4,"Default",0,"caggx3dterrainmgr.cpp",348,12/06/2017 20:46:29,"ACEDESK3","sjones","Full globe rendering requires OpenGL version 1.2 or greater; current version is 1.1.0; upgrade graphics card driver or card; only a single base texture will be rendered"
4,"Default",0,"caggx3dterrainmgr.cpp",362,12/06/2017 20:46:29,"ACEDESK3","sjones","Full globe rendering requires that the graphics card have at least two texture units; only a single base texture will be rendered"
2,"Default",0,"caggx3dterrainmgr.cpp",2086,12/06/2017 20:46:31,"ACEDESK3","sjones","Globe rendering is using OpenGL 1.1; unable to add http://twsusewebsvr02.agi.com/stk-terrain/v1/tilesets/world"
2,"Default",0,"caggx3dterrainmgr.cpp",2182,12/06/2017 20:46:31,"ACEDESK3","sjones","Globe rendering is using OpenGL 1.1; unable to add non-base file virtual_earth://virtualearth.net/Aerial.ve"
2,"Default",0,"caggx3dterrainmgr.cpp",2182,12/06/2017 20:46:31,"ACEDESK3","sjones","Globe rendering is using OpenGL 1.1; unable to add non-base file file:///C:/Program%20Files/AGI/STK%2011/STKData/VO/Textures/water.jp2"
1,"MsgWnd",1,"",0,12/06/2017 21:05:13,"ACEDESK3","sjones","Shaders not supported by current video driver.  Sun lighting and some imagery types are not supported for all map projections."
1,"MsgWnd",1,"",0,12/06/2017 21:05:13,"ACEDESK3","sjones","Frame buffer objects not supported by current video driver.  Imagery on perspective and orthographic projections are not supported."
4,"Default",0,"caggx3dterrainmgr.cpp",348,12/06/2017 21:05:14,"ACEDESK3","sjones","Full globe rendering requires OpenGL version 1.2 or greater; current version is 1.1.0; upgrade graphics card driver or card; only a single base texture will be rendered"
4,"Default",0,"caggx3dterrainmgr.cpp",362,12/06/2017 21:05:14,"ACEDESK3","sjones","Full globe rendering requires that the graphics card have at least two texture units; only a single base texture will be rendered"
2,"Default",0,"caggx3dterrainmgr.cpp",2086,12/06/2017 21:05:15,"ACEDESK3","sjones","Globe rendering is using OpenGL 1.1; unable to add http://twsusewebsvr02.agi.com/stk-terrain/v1/tilesets/world"
2,"Default",0,"caggx3dterrainmgr.cpp",2182,12/06/2017 21:05:15,"ACEDESK3","sjones","Globe rendering is using OpenGL 1.1; unable to add non-base file virtual_earth://virtualearth.net/Aerial.ve"
2,"Default",0,"caggx3dterrainmgr.cpp",2182,12/06/2017 21:05:15,"ACEDESK3","sjones","Globe rendering is using OpenGL 1.1; unable to add non-base file file:///C:/Program%20Files/AGI/STK%2011/STKData/VO/Textures/water.jp2"
2,"Default",0,"agve3d.cpp",459,12/06/2017 21:21:48,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,12/06/2017 21:24:23,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
2,"Default",0,"agve3d.cpp",459,12/06/2017 21:27:29,"ACEDESK3","sjones","Model Space\satellite.dae may cause performance issues due to an older video card. Using low-res default model."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 10:46:10,"ACEDESK3","sjones","Connection 0: Error creating CZML: Illegal characters in path."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 10:46:31,"ACEDESK3","sjones","Connection 0: Invalid 3D model server location: ""http://""   -   Invalid URI: The hostname could not be parsed."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 10:50:54,"ACEDESK3","sjones","Connection 0: Invalid 3D model server location: ""http://""   -   Invalid URI: The hostname could not be parsed."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 10:52:25,"ACEDESK3","sjones","Connection 0: Error creating CZML: Illegal characters in path."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 10:55:31,"ACEDESK3","sjones","Connection 0: Wrong number of parameters for ExportCzml command."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 11:29:26,"ACEDESK3","sjones","Connection 0: Error creating CZML: Illegal characters in path."
4,"MsgWnd",-1,"agaprmtmsgrhdlr.cpp",692,12/07/2017 11:30:26,"ACEDESK3","sjones","Connection 0: Error creating CZML: Illegal characters in path."
